"","Sample","Location","Effluent","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","medianNi"
"sit1","BR1","Birchtree","Reference",-0.218311143555573,-0.124192551378888,0.348047452996077,-0.0160139322457721,-0.248742467191497,0.397484885612572,-0.187457307245554,-0.0733968168335693,-0.00457410581490847,0.480467948501691,-0.482006932546008,-0.488844419674045,-0.381081283840511,-0.455959621983969,-0.0677892388228737,0.00128422702349623,-0.270000987820956,-0.00981143982896462,0.200043177805546,0.117725878491012,-0.723491841416589,0.346946810931985,0.313985868836926,-0.201959039349103,0.207426985025039,0.0787499698729879,0.209428765451803,0.0846268265048649,-0.36436338108543,-0.0758014265291529,0.172935939646805,0.198059915875417,-0.0336004989524859,-0.0133201437238995,78.225
"sit2","BR2","Birchtree","Reference",0.160800045446909,0.0356014358394807,0.170079170708805,0.183718227065591,-0.287093661516904,0.486896188325215,0.600194403772679,0.126056780271347,-0.0847842200213523,-0.0332298576659068,-0.295337895366253,0.309960228105628,0.258659029896318,-0.221064142492345,0.208766107174034,-0.024783666679631,-0.295453555812216,0.210013759263331,0.0492763724422285,0.0507997474579518,0.216090366124784,-0.123210397098809,-0.459192859073075,-0.0227724010058435,0.130223484823757,0.137599242527713,-0.0163323474492597,-0.309790354789125,0.151706602546857,0.0987208329015268,0.730927295922264,-0.111900114494023,-0.0503898124434942,-0.0509420344621755,78.225
"sit3","BR3","Birchtree","Reference",-0.25457487351706,-0.384096060624571,0.35469625177357,-0.402849855508438,-0.490887471004353,0.277970230778978,0.405997302042214,0.165798217721448,-0.198648873084272,-0.118438833731263,0.335771147464357,-0.204522869070209,-0.20531000270288,0.0212950564399222,-0.0305461201081851,0.0717661859868115,-0.0778043345979817,0.0482390128424104,-0.443139211002857,0.199272066750442,0.185852454494064,0.0666488439305558,0.183202250285059,-0.289130118709785,-0.463487668547002,-0.619194505900305,-0.257038229858564,0.303193598216197,0.459748194673868,-0.221275664095213,-0.175455928388358,-0.0285506222131981,0.0391435792880844,-0.0773679418920372,78.225
"sit4","BR4","Birchtree","Reference",-0.184370512226126,-0.04177721886662,0.250194929119971,-0.0733091800375557,0.187553139646804,-0.257722815264406,0.0253448199217941,-0.386029971098481,-0.0660397406637565,0.117832096669577,-0.140047245864166,-0.543741297879559,0.759899689114326,0.132163207596191,-0.216495879599944,-0.144168946697693,-0.179347244769286,0.310373339654366,0.0664363352904841,0.251369506735926,0.414895029531877,0.191218888700525,-0.0148758561926827,-0.0929988802762835,-0.23129513988793,-0.0317266155636716,0.468221011276048,-0.244171889351101,-0.0662851996992039,0.042725509376541,-0.170465617409903,-0.063906165934624,0.0576131843731165,0.390563307583038,78.225
"sit5","BR5","Birchtree","Reference",0.0570691249905438,-0.184424818209835,0.185054703904594,-0.117076683139775,0.0763590770218613,-0.0741544434162964,-0.10120445064245,-0.269083471957046,0.120037377543821,0.289794751705532,-0.0560379207992618,-0.194896585691345,0.64253136450353,0.139501676972337,0.121472517124055,0.0428591093787641,-0.0316680255854335,-0.196042018939536,0.0958101228809013,-0.0873367914158006,-0.165666960007755,0.41529129013043,-0.481179596525646,0.045134161360898,0.000368273306126069,0.289093865527633,-0.00273703510070097,0.341869471393379,0.563831744991469,0.0498363740180192,-0.164778443364218,-0.105807941294372,0.0800705704956055,-0.443007847097244,78.225
"sit6","BR6","Birchtree","Reference",-0.103721394343901,-0.571205581900863,0.260933653992757,-0.211359940012024,0.0742808686104783,0.338079444380329,-0.264171841032638,0.781372559522269,0.0698721401216426,-0.29872560907566,0.245254999826638,-0.283823458511049,-0.00365340450889367,0.258629749581135,0.0108726177306704,0.123893600415693,0.731654929747598,0.218449704979126,0.528959276877236,0.125029815881556,0.0691451685171024,0.0494358845508054,-0.15878151358089,0.200760642028299,0.12460866057795,0.267563610219642,0.0409255646582116,-0.268584750285122,-0.148175292441367,0.138347433097395,0.0346685769945178,-0.0270362296538568,-0.0214580269947414,0.0354086571020875,78.225
"sit7","BR7","Birchtree","Reference",-0.255010338014877,0.0592066954003987,0.131981792301423,-0.285402582004889,-0.0069009092524709,-0.61321762134956,0.173129424147138,0.257655972112535,0.10321420751272,-0.418054255669834,-0.060886553768239,0.220681686465781,0.112480270110033,0.0442049965572022,0.0458367956410373,-0.12214136962985,-0.203057425457674,-0.0170651900979814,0.102256547179665,0.191414584238388,-0.460449487276556,-0.292315847439145,-0.0424576106896021,-0.181954577553654,-0.0305449156955462,-0.153892040458676,0.304991939995058,0.165471236951609,-0.243013089067605,0.156289810294678,0.345422826090697,-0.371391902691085,0.183599844679258,-0.122248940616209,78.225
"sit8","BR8","Birchtree","Reference",-0.129511244402588,-0.10860491379557,0.17871609197058,-0.238136540860891,0.12676352988835,0.0701503068089821,-0.0970943241075337,-0.306994765574121,0.214447148377522,-0.00841795440996667,0.0734352343179705,0.121437000700369,-0.0491898870253138,0.307907419016424,0.0680685598591133,-0.164479313026749,0.0637012065045943,0.213555820219773,-0.404905502317725,-0.560160473636991,-0.411974896669107,-0.193348443727956,-0.213036822950557,0.0290139231030826,0.678166647253399,-0.545679827733674,0.153066041807271,-0.739721047012536,0.220114193300634,-0.235931532931051,-0.132881776805074,0.210333950980349,0.103466665979577,0.0359323547636237,78.225
"sit9","BR9","Birchtree","Reference",-0.433596664573577,-0.13626269389372,-0.303753514228784,0.201760626219058,-0.257251856253844,-0.015981344762477,-0.126665167170994,-0.524468788735433,-0.556610930628603,0.11663126381164,0.31727963223586,-0.0739862641349412,0.179067291148812,-0.506051021030704,0.117045083342953,-0.10411631812308,0.625114496426967,-0.339742793383376,0.163876445915255,0.0667730110915124,-0.0328627238399012,-0.55820450349035,-0.4727993362676,-0.119828174146268,-0.0276357091345952,-0.117873301757504,-0.0226699940842685,0.0712831701813496,-0.285310853790885,-0.295508295785694,0.0823746277887216,0.012883224333988,-0.0221565611635309,-0.0131727809926998,78.225
"sit10","BR10","Birchtree","Reference",0.17726317720205,-0.370959058818277,0.226644091841074,0.546508332091179,0.0849489187197105,-0.248418490010848,-0.595017489807523,0.163008495284032,-0.730833570506436,-0.365643591614698,-0.0860433602537729,0.0438976935523052,0.301687263052021,0.0520202444276102,0.175325492643528,0.126817884573354,-0.49286169617774,-0.183276866723658,-0.0311677926628379,-0.176214819097201,-0.0814676263566011,0.19987101527224,0.245468476136041,0.145355772772109,0.0079632530503634,-0.300574849993999,-0.572503026089333,-0.208395580378222,-0.112653318245732,-0.0129726834819866,0.108777116018173,-0.0643763388057809,-0.102708806300948,0.0154144612869224,78.225
"sit11","BE1","Birchtree","Exposure",0.0850332634247905,0.318655741365758,-0.0812911186427182,-0.20379497821808,-0.230520820430343,0.0233285826710736,0.158339400708514,-0.0359878853568188,-0.24458749119107,0.0718143503130726,0.206699518096569,-0.047021011995573,-0.0134465213470638,-0.0498500915010009,0.0498092041612586,0.0247233446494824,-0.119822785894836,0.17714139486805,0.165427753354871,-0.05407387697839,-0.200240179354921,0.0201485409597233,0.125058448985751,1.42579833697638,-0.203428244222526,-0.189296588350331,0.292764176943364,0.13856653836898,0.00540985813897194,-0.153063934656956,0.00140698490825039,0.0160111358319006,-0.0213638516777807,-0.00330212565164221,234.435
