WATER,RDA1,RDA2,SED,RDA1,RDA2
sit1,-0.43972749,-0.320935324,,-0.3735179,-0.4801626
sit2,0.165328216,0.097391244,,-0.006403,0.24588082
sit3,-0.318225165,-0.776289646,,-0.2220866,-0.9839369
sit4,-0.400744738,-0.25967889,,-0.2618855,-0.3308579
sit5,0.034816877,-0.318065301,,0.14254462,-0.2478737
sit6,-0.121515988,-0.907160648,,0.14028488,-0.8588043
sit7,-0.34753861,-0.019639423,,-0.3015817,-0.3076085
sit8,-0.236481702,-0.334893163,,-0.0853538,-0.4033767
sit9,-0.529951068,-0.333257004,,-0.3908499,-0.5714885
sit10,0.06993937,-0.268957173,,0.22196363,-0.0574999
sit11,0.20269274,0.388319166,,-0.0528716,0.32880024
sit12,0.359838536,0.46599911,,0.16517781,0.63615697
sit13,-0.348004975,-0.318984113,,-0.1338853,-0.2737599
sit14,0.592914323,-0.075365269,,0.62477593,0.28722015
sit15,-0.797702626,0.493311614,,-0.7655603,0.13153963
sit16,-0.270687391,0.868795854,,-0.5987581,0.48173588
sit17,0.645814045,0.250581278,,0.51393406,0.36295482
sit18,-0.260952418,0.336802187,,-0.208635,0.31454014
sit19,-0.740119176,0.172166063,,-0.740391,0.0296625
sit20,-1.02968289,-0.005656498,,-0.7970344,-0.3082753
sit21,0.710566806,-0.31656127,,0.68136926,-0.0478225
sit22,-0.368535677,-0.328414824,,-0.2051831,-0.4154161
sit23,-0.128501357,-0.648098266,,0.18180615,-0.7277417
sit24,0.095779438,0.178202576,,-0.0659989,0.07624836
sit25,0.301138106,-0.369328979,,0.42330775,-0.3512519
sit26,0.342287721,0.325460925,,0.14301798,0.45676539
sit27,0.652767899,-0.131573416,,0.64190989,0.04208939
sit28,-0.27013445,-0.053832986,,-0.239051,-0.1126353
sit29,0.338451779,0.524051516,,0.14998307,0.62500641
sit30,0.397968781,-0.132689348,,0.34936148,-0.0189586
sit31,0.139458894,0.240475454,,0.16783248,0.73349245
sit32,-0.384007375,-0.266166575,,-0.2122626,-0.2967193
sit33,0.28418228,0.27395659,,0.07813734,0.31387689
sit34,0.625033145,-0.149291115,,0.62040889,0.00831481
sit35,-0.06553064,0.686109826,,-0.2541682,0.61153369
sit36,0.184736958,0.54562822,,0.00479628,0.54668746
sit37,-0.439858608,-0.084522045,,-0.4282284,-0.3850301
sit38,0.380261593,0.606253266,,0.11629395,0.65550119
sit39,0.417263758,0.058037505,,0.32453731,0.00067805
sit40,0.556661078,-0.092181119,,0.65226347,0.29053469
