Sample,TAL,GAM,EPH,HEP,BAE,CAE,PSY,BRA,LEP,POL,HYD,LIM,PHR,PHI,COR,ELM,HAL,GYR,DYT,CAR,CHI,CER,CUL,THA,MUS,TAB,PLA,VAL,LYM,UNI,SPH,COE,GOM,CAM,SIA,CP,OL,HI,NE
BR1,822,0,606,0,0,433,130,0,0,0,0,0,0,0,43,0,0,0,0,0,1818,346,43,0,0,0,0,87,0,130,173,0,0,0,43,0,0,43,0
BR2,43,0,606,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,173,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0
BR3,736,0,736,0,0,390,43,0,0,0,0,0,0,0,0,87,0,0,0,0,1039,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,43
BR4,433,0,260,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,216,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,130,0
BR5,173,0,606,0,0,87,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1385,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0
BR6,260,0,693,43,130,173,43,43,0,0,0,0,0,0,43,87,0,0,0,0,476,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR7,1125,0,390,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2943,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
BR8,736,0,693,0,0,216,0,0,43,43,0,0,0,0,43,0,0,0,0,0,2294,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR9,1169,736,390,0,0,173,0,0,0,130,43,0,0,0,0,0,130,0,0,0,2034,303,0,43,0,0,0,216,0,0,43,43,0,0,0,43,0,130,87
BR10,43,0,693,0,43,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,390,216,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,43,0
BE1,87,0,303,0,0,87,0,0,0,43,0,0,0,0,0,0,0,0,0,0,4285,216,0,0,87,0,0,43,0,0,130,0,0,0,0,43,0,0,43
BE2,0,0,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1688,216,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,216
BE3,476,0,433,0,0,130,0,0,0,0,0,0,0,0,43,0,0,0,0,0,1125,563,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0
BE4,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE5,563,0,87,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,87,0,1125,303,0,0,0,0,0,130,0,0,43,0,0,0,0,0,0,0,87
BE6,216,0,43,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,43,43,2727,130,0,0,0,0,43,563,0,0,303,0,0,0,0,0,0,0,0
BE7,0,0,606,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,1861,87,0,0,0,43,0,0,0,0,0,0,0,0,43,0,0,0,0
BE8,216,0,173,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1558,433,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0
BE9,563,0,43,0,43,43,0,0,0,0,0,0,43,0,0,0,0,0,0,0,1255,433,0,0,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0
