Sample,TAL,GAM,EPH,HEP,BAE,CAE,PSY,BRA,LEP,POL,HYD,LIM,PHR,PHI,COR,ELM,HAL,GYR,DYT,CAR,CHI,CER,CUL,THA,MUS,TAB,PLA,VAL,LYM,UNI,SPH,COE,GOM,CAM,SIA,CP,OL,HI,NE
BR1,19,0,14,0,0,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,42,8,1,0,0,0,0,2,0,3,4,0,0,0,1,0,0,1,0
BR2,1,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
BR3,17,0,17,0,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
BR4,10,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0
BR5,4,0,14,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
BR6,6,0,16,1,3,4,1,1,0,0,0,0,0,0,1,2,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR7,26,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BR8,17,0,16,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR9,27,17,9,0,0,4,0,0,0,3,1,0,0,0,0,0,3,0,0,0,47,7,0,1,0,0,0,5,0,0,1,1,0,0,0,1,0,3,2
BR10,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
BE1,2,0,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,5,0,0,2,0,0,1,0,0,3,0,0,0,0,1,0,0,1
BE2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5
BE3,11,0,10,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BE4,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE5,13,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,26,7,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2
