Site,Location,Exp_Ref,Wat_Sed,Sed_Ni,Sed_Ni_jig,Wat_Ni,Hyalella_alive,Ha_lme,Lymnaea_alive,Ls_lme
BE 1 - SED,Birchtree,E,S,220,225,8,8,8,10,10
BE 1 - SED,Birchtree,E,S,220,225,8,7,7,9,9
BE 1 - SED,Birchtree,E,S,220,225,8,3,3,7,7
BE 1 - SED,Birchtree,E,S,220,225,8,10,10,9,9
BE 1 - WATER,Birchtree,E,W,220,215,8,6,6,10,10
BE 1 - WATER,Birchtree,E,W,220,215,8,9,9,9,9
BE 1 - WATER,Birchtree,E,W,220,215,8,9,9,7,7
BE 1 - WATER,Birchtree,E,W,220,215,8,8,8,10,10
BE 2 - SED,Birchtree,E,S,380,389,3,9,9,10,10
BE 2 - SED,Birchtree,E,S,380,389,3,4,4,9,9
BE 2 - SED,Birchtree,E,S,380,389,3,8,8,10,10
BE 2 - SED,Birchtree,E,S,380,389,3,7,7,10,10
BE 2 - WATER,Birchtree,E,W,380,371,3,10,10,9,9
BE 2 - WATER,Birchtree,E,W,380,371,3,8,8,9,9
BE 2 - WATER,Birchtree,E,W,380,371,3,9,9,10,10
BE 2 - WATER,Birchtree,E,W,380,371,3,10,10,9,9
BE 3 - SED,Birchtree,E,S,150,153,3,6,6,8,8
BE 3 - SED,Birchtree,E,S,150,153,3,8,8,8,8
BE 3 - SED,Birchtree,E,S,150,153,3,7,7,6,6
BE 3 - SED,Birchtree,E,S,150,153,3,5,5,9,9
BE 3 - WATER,Birchtree,E,W,150,147,3,8,8,10,10
BE 3 - WATER,Birchtree,E,W,150,147,3,7,7,10,10
BE 3 - WATER,Birchtree,E,W,150,147,3,8,8,9,9
BE 3 - WATER,Birchtree,E,W,150,147,3,7,7,10,10
BE 4 - SED,Birchtree,E,S,65,67,3,10,10,8,8
BE 4 - SED,Birchtree,E,S,65,67,3,10,10,9,9
BE 4 - SED,Birchtree,E,S,65,67,3,10,10,9,9
BE 4 - SED,Birchtree,E,S,65,67,3,6,6,7,7
BE 4 - WATER,Birchtree,E,W,65,64,3,10,10,8,8
