Sample.ID,Location,Effluent,Site,Depth,AVS,SEMFe,SEMMn,SEMNi,TotalFe,TotalMn,TotalNi,ASCFe,ASCMn,ASCNi,DITFe,DITMn,DITNi,N,C,CrysFe,CrysNi,PSEMFe,PSEMMn,PSEMNi,PAmFe,PAmNi,PCrysFe,PCrysNi,POxidMn,dw.ww,Fl,Cl,Br,SO4,Ni,Cond,pH,Hardness,AvgNi
BR1,Birchtree,Reference,1,Surface,0.022,9398.11,815.60,30.14,37673.81,1119.22,68.20,5451.84,731.65,16.63,13818.11,762.02,37.83,0.214,4.906,8366.27,21.2,0.249,0.729,0.442,0.145,0.244,0.222,0.311,0.681,0.351,0.072,2.098,0.322,4.207,3,173.6,8.03,,67.845
BR2,Birchtree,Reference,2,Surface,0.007,9961.33,869.16,48.51,27732.31,841.39,79.03,5368.40,847.24,30.21,8301.31,368.27,31.68,0.3,8.311,2932.91,1.47,0.359,1.034,0.614,0.194,0.382,0.106,0.019,0.438,0.339,0.074,2.175,0.24,4.29,2.3,174.5,7.86,,76.87
BR3,Birchtree,Reference,3,Surface,0.037,8906.02,837.02,38.23,31329.62,1430.17,87.08,5066.34,734.75,20.02,10193.80,491.32,38.22,0.484,9.245,5127.46,18.2,0.284,0.585,0.439,0.162,0.23,0.164,0.209,0.344,0.365,0.046,2.062,0.212,4.356,2.5,172.5,8.03,63.53,87.42
BR4,Birchtree,Reference,4,Surface,0.190,7591.69,567.56,33.14,26253.27,773.56,77.42,4237.06,490.65,19.58,9830.58,574.50,33.86,0.316,8.28,5593.52,14.28,0.289,0.734,0.428,0.161,0.253,0.213,0.184,0.743,0.463,0.078,2.043,0.212,4.233,2.4,172.1,8.08,51.54,65.945
BE1,Birchtree,Exposure,1,Surface,0.389,9498.48,774.90,166.94,31556.83,953.75,219.34,2768.58,340.47,37.69,11364.55,606.27,151.74,0.207,4.595,8595.97,114.05,0.301,0.812,0.761,0.088,0.172,0.272,0.52,0.636,0.348,1.489,841.732,25.503,445.656,8.2,365,8.31,,230.705
BE2,Birchtree,Exposure,2,Surface,5.414,7223.85,242.62,227.12,27454.75,467.72,378.99,2193.17,128.40,63.53,7271.99,213.84,169.73,0.132,3.857,5078.82,106.2,0.263,0.519,0.599,0.08,0.168,0.185,0.28,0.457,0.486,2.978,545.679,18.224,292.046,3.4,284.3,8.48,86.3,399.06
BE3,Birchtree,Exposure,3,Surface,0.044,9345.96,1084.66,129.49,28701.10,743.71,152.74,3799.72,856.82,82.11,7559.13,517.13,92.58,0.3,8.902,3759.41,10.47,0.326,1.458,0.848,0.132,0.538,0.131,0.069,0.695,0.32,3.722,409.701,25.503,243.752,3.1,260.4,8.23,87.5,125.68
BE4,Birchtree,Exposure,4,Surface,0.178,8733.63,329.39,29.21,36634.55,710.55,64.71,3053.57,282.76,8.45,12819.66,382.40,25.49,0.095,1.51,9758.68,17.03,0.238,0.464,0.451,0.083,0.131,0.266,0.263,0.538,0.596,2.978,237.69,21.864,166.772,2.6,225,8.16,,61.875
BE5,Birchtree,Exposure,5,Surface,0.027,7614.71,818.54,148.15,33296.28,568.14,330.96,4972.45,784.57,77.22,11733.15,197.61,224.89,0.237,3.586,6760.7,147.67,0.229,1.441,0.448,0.149,0.233,0.203,0.446,0.348,0.275,2.978,24851.734,865.622,12972.82,28,7255,8.54,NA,351.355
BE6,Birchtree,Exposure,6,Surface,0.324,9874.86,455.20,209.69,34963.22,534.64,355.90,4140.54,292.24,53.02,10761.43,390.18,165.92,0.307,4.126,6620.89,112.9,0.282,0.851,0.589,0.118,0.149,0.189,0.317,0.73,0.372,1.489,8124.948,43.674,3764.942,16,1698,8.58,75.52,345.705
