Sample,Location,Effluent,Site,AVS.surf,AVS.deep,SEMFe.surf,SEMFe.deep,SEMMn.surf,SEMMn.deep,SEMNi.surf,SEMNi.deep,TotalFe.surf,TotalFe.deep,TotalMn.surf,TotalMn.deep,TotalNi.surf,TotalNi.deep,ASCFe.surf,ASCFe.deep,ASCMn.surf,ASCMn.deep,ASCNi.surf,ASCNi.deep,DITFe.surf,DITFe.deep,DITMn.surf,DITMn.deep,DITNi.surf,DITNi.deep,Nit.surf,Nit.deep,Car.surf,Car.deep,Flu,Chl,Bro,SO4,Ni,Cond,pH,CrysFe.surf,CrysFe.deep,CrysNi.surf,CrysNi.deep,PSEMFe.surf,PSEMFe.deep,PSEMMn.surf,PSEMMn.deep,PSEMNi.surf,PSEMNi.deep,PAmFe.surf,PAmFe.deep,PAmNi.surf,PAmNi.deep,PCrysFe.surf,PCrysFe.deep,PCrysNi.surf,PCrysNi.deep,POxidMn.surf,POxidMn.deep,SEMAVS.surf,SEMAVS.deep,SEMAVSfOC.surf,SEMAVSfOC.deep,TAL,GAM,EPH,HEP,BAE,CAE,PSY,BRA,LEP,POL,HYD,LIM,PHR,PHI,COR,ELM,HAL,GYR,DYT,CAR,CHI,CER,CUL,THA,MUS,TAB,PLA,VAL,LYM,UNI,SPH,COE,GOM,CAM,SIA,CP,OL,HI,NE,TOT_AB,REL_EPH
BR1,Birchtree,Reference,1,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,19,0,14,0,0,10,3,0,0,0,0,0,0,0,1,0,0,0,0,0,42,8,1,0,0,0,0,2,0,3,4,0,0,0,1,0,0,1,0,109,0.13
BR2,Birchtree,Reference,2,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,1,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,64,0.22
BR3,Birchtree,Reference,3,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,17,0,17,0,0,9,1,0,0,0,0,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,73,0.23
BR4,Birchtree,Reference,4,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,10,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,55,0.11
BR5,Birchtree,Reference,5,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,4,0,14,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,60,0.23
BR6,Birchtree,Reference,6,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,6,0,16,1,3,4,1,1,0,0,0,0,0,0,1,2,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.33
BR7,Birchtree,Reference,7,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,26,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,107,0.08
BR8,Birchtree,Reference,8,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,17,0,16,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,53,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0.16
BR9,Birchtree,Reference,9,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,27,17,9,0,0,4,0,0,0,3,1,0,0,0,0,0,3,0,0,0,47,7,0,1,0,0,0,5,0,0,1,1,0,0,0,1,0,3,2,132,0.07
BR10,Birchtree,Reference,10,0.064,0.694,8965.873,9867.33,772.518,433.715,37.515,42.673,30747.253,27983.083,1041.085,646.3,77.933,71.108,5030.91,3052.003,701.073,350.123,21.61,13.963,10535.95,10822.689,549.028,590.46,35.398,34.536,0.3285,0.2605,7.6855,7.547,0.0675,2.0945,0.2465,4.2715,2.55,173.175,8,5505.04,7858.455,13.7875,21.035,0.29525,0.35325,0.7705,0.68875,0.48075,0.59075,0.1655,0.1105,0.27725,0.2,0.17625,0.28,0.18075,0.30075,0.5515,0.941,0.575205998,0.033082978,7.484301576,0.438359326,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,37,0.43
