Sample,Location,Effluent,AVS.surf,AVS.deep,SEMFe.surf,SEMFe.deep,SEMMn.surf,SEMMn.deep,SEMNi.surf,SEMNi.deep,TotalFe.surf,TotalFe.deep,TotalMn.surf,TotalMn.deep,TotalNi.surf,TotalNi.deep,ASCFe.surf,ASCFe.deep,ASCMn.surf,ASCMn.deep,ASCNi.surf,ASCNi.deep,DITFe.surf,DITFe.deep,DITMn.surf,DITMn.deep,DITNi.surf,DITNi.deep,N.surf,N.deep,C.surf,C.deep,Fl,Cl,Br,NO3N,SO4,PO4P,Ni,Cond,pH,Hardness,dw.ww.surf,dw.ww.deep,CrysFe.surf,CrysFe.deep,CrysNi.surf,CrysNi.deep,PSEMFe.surf,PSEMFe.deep,PSEMMn.surf,PSEMMn.deep,PSEMNi.surf,PSEMNi.deep,PAmFe.surf,PAmFe.deep,PAmNi.surf,PAmNi.deep,PCrysFe.surf,PCrysFe.deep,PCrysNi.surf,PCrysNi.deep,POxidMn.surf,POxidMn.deep
BR1,Birchtree,Reference,0.022,0.466,9398.11,9969.61,815.6,484.85,30.14,35.03,37673.81,31805.95,1119.22,639.04,68.2,67.49,5451.84,2981.57,731.65,297.62,16.63,10.12,13818.11,12746.72,762.02,638.47,37.83,43.54,0.214,0.214,4.906,4.893,0.072,2.098,0.322,0.02,4.207,NA,3,173.6,8.03,,0.351,0.438,8366.27,9765.147,21.2,33.415,0.249,0.313,0.729,0.759,0.442,0.519,0.145,0.094,0.244,0.15,0.222,0.307,0.311,0.495,0.681,0.999
BR2,Birchtree,Reference,0.007,1.039,9961.33,9645.67,869.16,466.6,48.51,43.37,27732.31,27755.25,841.39,693.01,79.03,74.71,5368.4,3344.22,847.24,406.68,30.21,21.51,8301.31,10688.85,368.27,795.5,31.68,36.05,0.3,0.386,8.311,14.586,0.074,2.175,0.24,0.095,4.29,NA,2.3,174.5,7.86,,0.339,0.369,2932.91,7344.63,1.47,14.54,0.321,0.348,1.033,0.673,0.614,0.581,0.194,0.12,0.382,0.288,0.106,0.265,0.019,0.195,0.438,1.148
BR3,Birchtree,Reference,0.037,0.296,8906.02,11781.93,837.02,364.22,38.23,61.94,31329.62,27916.05,1430.17,754.92,87.08,87.76,5066.34,2355.64,734.75,325.02,20.02,11.87,10193.8,9114.87,491.32,441.16,38.22,32.6,0.484,0.277,9.245,6.5,0.046,2.062,0.212,NA,4.356,NA,2.5,172.5,8.03,63.53,0.365,0.462,5127.46,6759.23,18.2,20.73,0.242,0.422,0.585,0.482,0.439,0.706,0.162,0.084,0.23,0.135,0.164,0.242,0.209,0.236,0.344,0.584
BR4,Birchtree,Reference,0.19,0.975,7591.69,8072.11,567.56,419.19,33.14,30.35,26253.27,24455.08,773.56,498.23,77.42,54.47,4237.06,3526.58,490.65,371.17,19.58,12.35,9830.58,10740.32,574.5,486.71,33.86,25.96,0.316,0.165,8.28,4.209,0.078,2.043,0.212,NA,4.233,NA,2.4,172.1,8.08,51.54,0.463,0.465,5593.52,7213.74,14.28,13.61,0.362,0.33,0.734,0.841,0.428,0.557,0.161,0.144,0.253,0.227,0.213,0.295,0.184,0.25,0.743,0.977
BE1,Birchtree,Exposure,0.389,1.65,9498.48,7960.51,774.9,358.8,166.94,149.57,31556.83,30376.92,953.75,600.29,219.34,242.07,2768.58,2464.55,340.47,207.29,37.69,39.3,11364.55,7988.59,606.27,255.09,151.74,145.8,0.207,0.214,4.595,4.388,1.489,841.732,25.503,2.215,445.656,17.928,8.2,365,8.31,,0.348,0.459,8595.97,5524.036,114.05,106.498,0.229,0.262,0.812,0.598,0.761,0.618,0.088,0.081,0.172,0.162,0.272,0.182,0.52,0.44,0.636,0.425
BE2,Birchtree,Exposure,5.414,5.404,7223.85,6205.65,242.62,232.61,227.12,208.76,27454.75,26452.19,467.72,449.21,378.99,419.13,2193.17,1560.56,128.4,103.23,63.53,61.87,7271.99,10834.25,213.84,357.73,169.73,275.29,0.132,0.12,3.857,4.178,2.978,545.679,18.224,0.554,292.046,NA,3.4,284.3,8.48,86.3,0.486,0.59,5078.82,9273.69,106.2,213.42,0.34,0.235,0.519,0.518,0.599,0.498,0.08,0.059,0.168,0.148,0.185,0.351,0.28,0.509,0.457,0.796
BE3,Birchtree,Exposure,0.044,1.051,9345.96,6360.38,1084.66,401.43,129.49,28.09,28701.1,34534.85,743.71,694.77,152.74,98.62,3799.72,1227.48,856.82,159.58,82.11,19.4,7559.13,5486.89,517.13,186.13,92.58,31.76,0.3,0.21,8.902,6.526,3.722,409.701,25.503,2.215,243.752,1.795,3.1,260.4,8.23,87.5,0.32,0.516,3759.41,4259.41,10.47,12.36,0.304,0.184,1.458,0.578,0.848,0.285,0.132,0.036,0.538,0.197,0.131,0.123,0.069,0.125,0.695,0.268
BE4,Birchtree,Exposure,0.178,0.159,8733.63,7340.73,329.39,366.42,29.21,24.39,36634.55,36634.27,710.55,641.63,64.71,59.04,3053.57,3909.7,282.76,320.31,8.45,9.2,12819.66,14007.25,382.4,950.82,25.49,210.22,0.095,0.049,1.51,0.53,2.978,237.69,21.864,1.662,166.772,8.97,2.6,225,8.16,,0.596,0.606,9766.089,10097.55,17.036,201.02,0.208,0.2,0.464,0.571,0.451,0.413,0.083,0.107,0.131,0.156,0.267,0.276,0.263,3.405,0.538,1.482
BE5,Birchtree,Exposure,0.027,0.132,7614.71,9677.06,818.54,236.56,148.15,250.22,33296.28,33298.28,568.14,476.19,330.96,371.75,4972.45,4533.94,784.57,97.83,77.22,58.03,11733.15,15875.63,197.61,266.71,224.89,311.34,0.237,0.175,3.586,4.125,2.978,24851.734,865.622,27.666,12972.82,3.59,28,7255,8.54,NA,0.275,0.429,6760.7,11341.69,147.67,253.31,0.297,0.291,1.441,0.497,0.448,0.673,0.149,0.136,0.233,0.156,0.203,0.341,0.446,0.681,0.348,0.56
BE6,Birchtree,Exposure,0.324,7.588,9874.86,9192.95,455.2,251.96,209.69,257.86,34963.22,31218.91,534.64,427.38,355.9,335.51,4140.54,2696.34,292.24,113.12,53.02,56.2,10761.43,13266.18,390.18,296.89,165.92,243.68,0.307,0.196,4.126,4.881,1.489,8124.948,43.674,9.966,3764.942,3.59,16,1698,8.58,75.52,0.372,0.447,6620.89,10569.84,112.9,187.48,0.268,0.294,0.851,0.59,0.589,0.769,0.118,0.086,0.149,0.168,0.189,0.339,0.317,0.559,0.73,0.695
