Taxa,BR1,BR2,BR3,BR4,BR5,BR6,BR7,BR8,BR9,BR10,BE1,BE2,BE3,BE4,BE5,BE6,BE7,BE8,BE9,BE10,WR1,WR2,WR3,WR4,WR5,WR6,WR7,WR8,WR9,WR10,WE1,WE2,WE3,WE4,WE5,WE6,WE7,WE8,WE9,WE10
TAL,17.43,1.56,23.29,18.18,6.67,12.5,24.3,16.5,20.45,2.7,1.61,0,16.42,0,22.81,5.21,0,8.33,21.31,41.84,0,23.08,7.69,2.11,3.7,0,0,10.61,0,1.64,0,14.75,1.39,0,1.69,1.45,24.71,0,0.88,0
GAM,0,0,0,0,0,0,0,0,12.88,0,0,0,0,0,0,0,0,0,0,0,0,0,64.62,0,3.7,0,0,1.52,0,3.28,0,9.84,0,0,0,0,1.18,0,0,0
EPH,12.84,21.88,23.29,10.91,23.33,33.33,8.41,15.53,6.82,43.24,5.65,13.79,14.93,42.86,3.51,1.04,22.58,6.67,1.64,3.06,41.77,15.38,8.46,0,22.22,5.81,26.83,4.55,3.45,18.03,21.43,3.28,9.72,30,6.78,2.9,9.41,11.19,20.18,42.86
BAE,0,0,0,0,0,6.25,1.87,0,0,2.7,0,0,0,0,0,0,0,1.67,1.64,0,0,1.92,2.31,6.32,0,0,0,0,1.72,0,0,5.74,0,0,1.69,0,0,0,0,0
CAE,9.17,1.56,12.33,1.82,3.33,8.33,0,4.85,3.03,0,1.61,0,4.48,0,0,0,0,0,1.64,0,3.8,1.92,0.77,5.26,1.85,3.49,2.44,3.03,0,3.28,0,3.28,1.39,3.33,0,0,1.18,0,2.63,0
POL,0,0,0,0,0,0,0,0.97,2.27,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,5.26,11.11,4.65,2.44,6.06,5.17,0,0,1.64,0,0,0,0,1.18,0,0.88,0
COR,0.92,0,0,0,1.67,2.08,0,0.97,0,0,0,0,1.49,0,1.75,1.04,0,0,0,0,0,0,1.54,0,3.7,0,2.44,0,1.72,0,0,0,0,10,1.69,0,0,0,4.39,0
DYT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,1.04,0,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0
CHI,38.53,51.56,32.88,52.73,53.33,22.92,63.55,51.46,35.61,24.32,79.84,67.24,38.81,47.62,45.61,65.63,69.35,60,47.54,38.78,51.9,46.15,13.08,67.37,50,69.77,56.1,53.03,72.41,65.57,33.33,41.8,79.17,53.33,61.02,86.47,52.94,72.73,59.65,38.1
CER,7.34,6.25,0,9.09,8.33,4.17,0.93,8.74,5.3,13.51,4.03,8.62,19.4,9.52,12.28,3.13,3.23,16.67,16.39,10.2,2.53,7.69,0.77,5.26,3.7,13.95,4.88,13.64,12.07,4.92,40.48,16.39,4.86,3.33,10.17,8.21,2.35,7.69,2.63,14.29
VAL,1.83,0,0,0,0,0,0,0,3.79,8.11,0.81,0,0,0,5.26,13.54,0,0,0,0,0,0,0,0,0,1.16,0,0,0,0,0,0,0,0,1.69,0,1.18,6.99,4.39,0
UNI,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0
SPH,3.67,17.19,2.74,0,0,0,0,0,0.76,0,2.42,1.72,0,0,1.75,7.29,0,0,8.2,1.02,0,0,0,0,0,1.16,0,1.52,1.72,0,4.76,0,2.08,0,8.47,0,3.53,0.7,0,0
SIA,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,4.76
CP,0,0,0,0,0,0,0.93,0,0.76,0,0.81,0,4.48,0,0,0,0,0,0,0,0,3.85,0,7.37,0,0,0,0,1.72,3.28,0,2.46,1.39,0,0,0.97,1.18,0,0.88,0
HI,0.92,0,0,5.45,3.33,0,0,0,2.27,2.7,0,0,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE,0,0,1.37,0,0,0,0,0,1.52,0,0.81,8.62,0,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
