Sample,TAL,GAM,EPH,HEP,BAE,CAE,PSY,BRA,LEP,POL,HYD,LIM,PHR,PHI,COR,ELM,HAL,GYR,DYT,CAR,CHI,CER,CUL,THA,MUS,TAB,PLA,VAL,LYM,UNI,SPH,COE,GOM,CAM,SIA,CP,HI,NE,
BR1,17.43,0.00,12.84,0.00,0.00,9.17,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,38.53,7.34,0.92,0.00,0.00,0.00,0.00,1.83,0.00,2.75,3.67,0.00,0.00,0.00,0.92,0.00,0.92,0.00,
BR2,1.56,0.00,21.88,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.56,6.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BR3,23.29,0.00,23.29,0.00,0.00,12.33,1.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.00,0.00,0.00,32.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,1.37,
BR4,18.18,0.00,10.91,0.00,0.00,1.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.73,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.00,5.45,0.00,
BR5,6.67,0.00,23.33,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,53.33,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,
BR6,12.50,0.00,33.33,2.08,6.25,8.33,2.08,2.08,0.00,0.00,0.00,0.00,0.00,0.00,2.08,4.17,0.00,0.00,0.00,0.00,22.92,4.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BR7,24.30,0.00,8.41,0.00,1.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,63.55,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,0.00,0.00,
BR8,16.50,0.00,15.53,0.00,0.00,4.85,0.00,0.00,0.97,0.97,0.00,0.00,0.00,0.00,0.97,0.00,0.00,0.00,0.00,0.00,51.46,8.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
BR9,20.45,12.88,6.82,0.00,0.00,3.03,0.00,0.00,0.00,2.27,0.76,0.00,0.00,0.00,0.00,0.00,2.27,0.00,0.00,0.00,35.61,5.30,0.00,0.76,0.00,0.00,0.00,3.79,0.00,0.00,0.76,0.76,0.00,0.00,0.00,0.76,2.27,1.52,
BR10,2.70,0.00,43.24,0.00,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,0.00,24.32,13.51,0.00,0.00,0.00,0.00,0.00,8.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.70,0.00,
BE1,1.61,0.00,5.65,0.00,0.00,1.61,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.84,4.03,0.00,0.00,1.61,0.00,0.00,0.81,0.00,0.00,2.42,0.00,0.00,0.00,0.00,0.81,0.00,0.81,
BE2,0.00,0.00,13.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,67.24,8.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,0.00,0.00,0.00,0.00,0.00,0.00,8.62,
